"idx","text"
"54293","Yesterday Jay Sekulow looked right at Schiff's FAT face and said ""I want YOU as a witness... I want Hunter Biden as a witness and I want JOE Biden as a witness""

BOOM!  LIKE A BOSS"
"40506","“The reason they are not sending the Articles of Impeachment to the Senate is that they are so weak and so pathetic.” @LindseyGrahamSC @MariaBartiromo  The great Scam continues. To be spending time on this political Hoax at this moment in our history, when I am so busy, is sad!"
"59421","Mr. President, let’s set politics aside. My husband earned all his accolades after a lifetime of service. I’m preparing for the first holiday season without the man I love. You brought me down in a way you can never imagine and your hurtful words just made my healing much harder."
"64644","I will vote for someone who does not yell, will not tweet, will submit the SOTU in writing, will appear at no sporting events and reads books. I ask for so little.."
"44021","#LUFC can set all the deadlines they want but #SaintsFC are not interested in giving them Che Adams. Am also reliably informed the player is happy at #SaintsFC nothing to see here."
"13020","Schiff is giving Republicans NO WITNESSES, NO LAWYER & NO DUE PROCESS! It is a totally one sided Witch Hunt. This can’t be making the Democrats look good. Such a farce!"
"4787","Georgia has national championship talent with a JV offensive game plan."
"55090","Mini Mike is part of the Fake News. They are all working together. In fact, Bloomberg isn’t covering himself (too boring to do), or other Dems. Only Trump. That sounds fair! It’s all the Fake News Media, and that’s why nobody believes in them any more."
"11557","I am SO SICK of @MeghanMcCain turning EVERY political interview into a tearful monologue about her father.

It is a CHEAP, emotional maneuver that she uses so that nobody can question her non-existent authority.

She’s a spoiled brat!

GREAT JOB, TODAY @DonaldJTrumpJr!!"
"2125","I have had to physically stop myself from trolling @mattgaetz all day today.

IT’S BEEN SO HARD TO NOT TROLL HIM TODAY.

GOD HELP ME.

🤐

(so very hard)"
"9922","I believe in sending flowers, and paying for dinner, opening doors and holding hands, trips to Disneyland and making future plans, planning road trips, and PDA and saying I love you and always meaning it.

No wonder I can’t date in 2019, I’m too fucking old fashioned. 💀"
"47931","Stand by for news — @SpecialReport - with a full hour of news stories and panel ahead.   My Voice is a little shaky today from a cold but I will make it through."
"56618","How u stripping,selling pussy and working in sales at Macy’s lol"
"47320","Democrats want the Senate to do their work for them.

But the Senate’s job is to review what the House sent over, not hold an impeachment* do over."
"54216","every straight person i know is pathetic only the men though straight women are queens"
"37804","Read the Transcripts!"
"13827","“The circus is coming to town. The corrupt, compromised, coward & congenital liar Adam Schiff Show on Capital Hill, brought to you by his raging psychotic Democrats & the top allies in the Media Mob. Everything you’re going to see in the next two weeks is rigged....."
"18971","Corrupt politician Adam Schiff’s lies are growing by the day. Keep fighting tough, Republicans, you are dealing with human scum who have taken Due Process and all of the Republican Party’s rights away from us during the most unfair hearings in American History......"
"29860","25 Million Evangelical Christians are not registered to vote. We are working hard to get them registered! @robertjeffress @LouDobbs"
"23893","Mini Mike Bloomberg has instructed his third rate news organization not to investigate him or any Democrat, but to go after President Trump, only. The Failing New York Times thinks that is O.K., because their hatred & bias is so great they can’t even see straight. It’s not O.K.!"
"33820","Sitting in a hot bath, full of overflowing bubbles, looking at the league table that says #WBA are top. Beside me I have a pizza, cigar and beer. So proud to support @WBA"
"62666","These were Mueller prosecutors, and the whole Mueller investigation was illegally set up based on a phony and now fully discredited Fake Dossier, lying and forging documents to the FISA Court, and many other things. Everything having to do with this fraudulent investigation is..."
"9108","The Whistleblower gave false information & dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!"
"22765","F21 is so annoying for cropping 90% of their tops and sweaters.. some of us are fat"
"16051","Dow hits 28,000 - FIRST TIME EVER, HIGHEST EVER! Gee, Pelosi & Schitt have a good idea, “lets Impeach the President.” If something like that ever happened, it would lead to the biggest FALL in Market History. It’s called a Depression, not a Recession! So much for 401-K’s & Jobs!"
"54660","Billionaire Bloomberg just bought the @DNC. #PayToPlay #StandWithTulsi"
"52604","I can’t stand when niggas say they didn’t want to have kids but they nutted in a woman!! YOU ARE AN IDIOT! YOU DESERVE TO PAY EVERY RED CENT OF CHILD SUPPORT! I HOPE YOU NIGGAS STAY ON CHILD SUPPORT FOREVER MAY THE MOTHER OF YOUR CHILDREN EAT YOU NIGGAS ALIVE!#SoShamelessPodcast"
"10681","Based on the information released last night about the Fake Whistleblowers attorney, the Impeachment Hoax should be ended IMMEDIATELY! There is no case, except against the other side!"
"57895","I'm now in the 7-8 hours of solid sleep zone and waking up naturally between 6-7am 😍.

I love watching the sun rise through my bedroom window 🌄

Feeling a bit groggy from last night's valium but I have good plans for today ❤.

Happy Saturday #RecoveryPosse

Day 39"
"30534","Congressional Do Nothing Democrats are being absolutely decimated in their districts on the subject of the Impeachment Hoax. People that voted for them are literally screaming in their faces. Crazy Nancy is finding defending Shifty Schiff harder than she thought! #2020Election"
"60662","Mini Mike is a 5’4” mass of dead energy who does not want to be on the debate stage with these professional politicians. No boxes please. He hates Crazy Bernie and will, with enough money, possibly stop him. Bernie’s people will go nuts!"
"64785","Growing up playing girls’ sports every girl with short hair who was good was accused of being a boy by parents on opposing teams. If pending bills pass those girls are going to be forced to get their genitals and hormones and chromosomes checked to “prove” their sex."
"22839","I spend too much time stressing about software choices as an user/consumer. I'm beginning to worry this is unhealthy, I literally lose sleep over this stuff. 😐"
"36284","Speaker Pelosi and Chuck Schumer’s drive to try and rig the trial against the President is misplaced. There is no factual basis for the Articles of Impeachment that passed the House. This President will be exonerated.” William McGinley  @foxandfriends"
"12500","The call to the Ukrainian President was PERFECT. Read the Transcript! There was NOTHING said that was in any way wrong. Republicans, don’t be led into the fools trap of saying it was not perfect, but is not impeachable. No, it is much stronger than that. NOTHING WAS DONE WRONG!"
"29343","The DA is finished:

A large number of DA Cllrs in Tshwane no longer want the DA, if the DA thought it is a Jhb problem, they are wrong. Tshwane is worse (Black and White caucuses) than Jhb. In fact Jhb is a ""scratch of the surface"".

🔥🔥🔥🔥🔥🔥🔥

@MYANC @MbalulaFikile @Our_DA"
"38702","Archie doesn't need to have playdates with his cousins. He has many other friends. Louis has his siblings and his other cousin Arthur if Kate wants him to play with kids, he will only interact with Archie when it is necessary. That family will just use him for their own gain."
"14759","Yesterday, one of my one year olds was crying during nap time so I moved to rub her back and she calmed down and then started rubbing my leg. It was so sweet. 🥺🥺🥺"
"21743","Damn I really don’t have any friends to do my hood rat activities with"
"43082","Why aren’t all House Dems showing support for Iranian protesters who have courageously taken to the streets in Iran in favor of freedom, stability, prosperity & peace. Just checked the Twitter feeds of Pelosi, Hoyer, Clyburn, Schiff & others. Nothing! Why the silence on this?!?!"
"61196","Drag Race UK is unbearable."
"36896","#amjoy That's Donald Trump's psychopathology talking. That's at the core of everything he does/says. It warps his thinking and thus his behavior. And that's what makes him a clear/present danger to our national security & the world & should post haste evoke the 25th Amendment."
"16773","Some people on here just make me laugh!!! They follow you JUST so they can try and put you down, and by try I mean fail!! 😂😂😂 honestly if you don’t like me please click unfollow Cos really you’re just embarrassing yourself!"
"4083","The leaks out of today’s witness interview have been laughably overblown and don’t tell the full story

Still no evidence of quid pro quo. Much of the statement and hearsay allegations didn’t hold up against any real scrutiny.

The FULL transcript should be released immediately"
"30294","My son is taking part in a social experiment.

He has to wear a Hearts top for 2 weeks to see how the people react.

So far he has been spat at, punched, kicked and verbally abused.

It will be interesting to see what happens when he leaves the house."
"6684","What's happening in Hong Kong is incredible.

We've seen over two million people come to the streets protesting for freedom and democracy.

And it's amazing to see them holding up quotes from the American Founding Fathers.

#StandForFreedom #StandWithHongKong #StandWithHK"
"63945","Silence is bliss, or so they say... But is it truly?"
"48701","Normie Democrats can’t stand Sanders/DSA Twitter, but I think they’d learn to love it fast if Sanders was the nominee. All of that posting aimed at Donald Trump? Folks!"
"1274","Adam Gase stumbled through his press conference. No accountability at all. Tried to pass the buck to “those guys” in the front office when asked about Kelechi Osemele.

He showed no leadership of any kind.

Embarrassing for the organization."
"8733","If Shifty Adam Schiff, who is a corrupt politician who fraudulently made up what I said on the “call,” is allowed to release transcripts of the Never Trumpers & others that are & were interviewed, he will change the words that were said to suit the Dems purposes. Republicans..."
"2562","Theater critics use the word 'delicious' to describe a performance or a show they like constantly and yet food critics rarely utilize that word when describing an actual meal.

#RandomThoughts"
"61926","let me see if he can run from a shotgun"
"9650","If you’re looking for innocent and sweet....don’t look at me.

My sense of humor is warped, I have a fucked up view of romance and I swear like a goddamn motherfucking sailor."
"60350","Mini Mike is a 5’4” mass of dead energy who does not want to be on the debate stage with these professional politicians. No boxes please. He hates Crazy Bernie and will, with enough money, possibly stop him. Bernie’s people will go nuts!"
"7279","I’m gonna start lip-syncing"
"17839","Khune paid lobola after cheating with a teenager. Reminds me of a tweet that said there is nothing a marriage proposal can't fix to some women. You can treat her like dirt but ask her to marry you she will gladly say yes. 🤦 #KHUNE"
"66167","Very worrying on news tonight the number of #coronavirus cases in South Korea has increased. Anyone attending matches at TOTTENHAM will know we have hundreds of tourist fans from South Korea to see their idol Heung Min Son, should we be alarmed? #COYS @patel4witham"
"24944","A minor child deserves privacy and should be kept out of politics. Pamela Karlan, you should be ashamed of your very angry and obviously biased public pandering, and using a child to do it."
"31665","Can you believe that I will be impeached today by the Radical Left, Do Nothing Democrats, AND I DID NOTHING WRONG! A terrible Thing. Read the Transcripts. This should never happen to another President again. Say a PRAYER!"
"47916","Cryin’ Chuck Schumer is now asking for “fairness”, when he and the Democrat House members worked together to make sure I got ZERO fairness in the House. So, what else is new?"
"51142","Shifty Adam Schiff is a CORRUPT POLITICIAN, and probably a very sick man. He has not paid the price, yet, for what he has done to our Country!"
"13707","With your help I would like to rename the following public spaces;

JKIA Airport
Uhuru Highway
JKUAT University
Mama Ngina Drive
Kenyatta University
Uhuru Park
Uhuru Gardens
Kenyatta Market
Mama Ngina Street
Kenyatta Hospital
Kenyatta Uni Refferal Hospital

Share deserving names."
"21006","I just watched aiesha yesufu rant now on instagram! Edakun is that lady ok at all? What is her problem? Proudly bragging that she’s a mad woman only that she does not have a bed in a mental home yet! Is that woman normal at all? I think she should be checked o! Hian! 😳😳"
"35307","Apparently the young people now say “slaps”?

E.G. “That movie slaps.”

Do y’all know about this? Am I using it right?"
"33597","Nancy Pelosi is looking for a Quid Pro Quo with the Senate. Why aren’t we Impeaching her?"
"14681","Where’s the Fake Whistleblower?"
"36071","For those who have heard my voice, what do I sound like?"
"26068","Hi Tari please keep anonymous.
Broke up with my girlfriend month ago, ever since I’ve just been in a spiral of self destruction and sabotage.She blocked me, but i still text the number because only person i want to talk to.
Not like she is perfect , red flags here and there"
"8628","Vinatieri just missed a potential game winning field goal from 43 yards away. Why didn’t Head Coach Frank Reich know he was going to miss it? Last week he knew he was going to make the 51 yarder. How can that be?"
"56885","Attention @MittRomney:

Everyone thinks you are a spinless hack and a stone cold loser.

I hope the Republican Caucus kicks you out immediately and the people of Utah vote to recall your pathetic, carpet bagging self.

#RecallRomney"
"31175","The Stock Market hit another Record High yesterday, number 133 in less than three years as your all time favorite President, and the Radical Left, Do Nothing Democrats, want to impeach me. Don’t worry, I have done nothing wrong. Actually, they have!"
"24791","The Fake News Media is doing everything possible to belittle my VERY successful trip to London for NATO. I got along great with the NATO leaders, even getting them to pay $130 Billion a year more, & $400 Billion a year more in 3 years. No increase for U.S., only deep respect!"
"8601","The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but, being an arm of the Democrat Party, don’t want to reveal him because there would be hell to pay.
 Reveal the Whistleblower and end the Impeachment Hoax!"
"5541","Pelosi is now leading a delegation of 9, including Corrupt Adam Schiff, to Jordan to check out Syria. She should find out why Obama drew The Red Line In the Sand, & then did NOTHING, losing Syria & all respect. I did something, 58 missiles. One million died under Obama’s mistake!"
"2488","My Sunday morning in a mountain refugio in Spain, so far. Washing my socks by hand with bath soap. Picking up scratchy coverage of the rugby. Coordinating a response to the PM's silliness. Advising on the Lib Dem Federal Constitution. Yours?"
"53588","Even the Washington Post has called Schiff a liar. It is clear he knows and even coached the whistleblower.

How can anybody take his information seriously? He is deliberately misleading the public about @realDonaldTrump because he knows their impeachment case is baseless."
"5753","PSA: I'm not an egalitarian, of any stripe."
"11357","2. Here is a Warning, you have all been told the truth AGAIN!! I STRONGLY ADVISE ALL OF YOU TO STOP LYING ABOUT ME."
"44396","Reports of ongoing Russian interference in US elections to benefit the President & undermine our democracy highlight the need for action.

Our intel & law enforcement officials have been clear about the threat.

Why doesn’t the President have a plan to protect our elections?"
"63801","Another day another mia nude sent to my snap chat that I almost accidentally open in front of my mom"
"37608","Most of us we have amazing partners but we don't realize that🙅‍♂️ because we spend most of our times comparing our current with our previous and even envying other people's relationships instead of moulding our own into what we want them to be"
"2904","#StopTheCoup"
"60615","Congress wasted time and millions of dollars on a partisan impeachment. In return, taxpayers got nothing. Democrats’ misaligned priorities have cost the people solutions that could have actually improved their quality of life."
"21147","Lee beating Rollins and Reigns would have jolted him so high. But Vince doesn't know how to make new stars. Pretty sad.

#SurvivorSeries"
"33602","If Ive ever talked ill about you this year, I am sorry because starting this new decade your dead to me. These past few years I have been through absolute hell and trauma, but as we embark on a new decade, I plan to reach new endeavors. I cant have negativity...."
"53918","“Schiff blasted for not focusing on California homeless.” @foxandfriends  His District is in terrible shape. He is a corrupt pol who only dreams of the Impeachment Hoax. In my opinion he is mentally deranged!"
"48677","Orange juice is better than apple juice 🤗"
"57160","Came from meetings to see Wiggins to Dallas rumors?

If it gets this bum THJ out of Dallas then I’m 🥰🥰🥰"
"45161","How low can liddle Adam Bull Schiff go? I was never in Kiev. For them to take some texts my buddy’s and I wrote back to some dweeb we were playing with that we met a few times while we had a few drinks is definitely laughable. Schiff is a desperate turd playing with this Lev guy."
"37289","Hey, @realDonaldTrump, maybe your New Year’s resolution should be to stop adding to the stigma of mental illness and not use terms in your tweets like, “crazy” or “lost his mind”.

The 44 million of us who suffer sure would appreciate it. 🎉"
"7398","The Greatest Witch Hunt In American History!"
"31865","SUCH ATROCIOUS LIES BY THE RADICAL LEFT, DO NOTHING DEMOCRATS. THIS IS AN ASSAULT ON AMERICA, AND AN ASSAULT ON THE REPUBLICAN PARTY!!!!"
"61895","Oh dear! How will our bigotted kids become woke without Radio 1 – one of dozens set for the axe – educational TV like ""Danny Dyer: I Believe in UFOs"" and QT panels packed with condescending metropolitan liberals.

How will Britain ever rejoin the EU without mass propaganda? 😫"
"63244","Uhuru Kenyatta legacy issa scam…
School laptops scam
SGR scam
Eurobond scam
Galana Kulalu scam
Last mile connectivity scam
Security cameras scam
Dams scam
Container terminal scam
Huduma namba scam
Stawi loan app scam
Early oil export scam
Medical equip scam

what have I missed?"
"52395","An unpublished manuscript that only “anonymous sources” have seen, leaked at the very last minute, just as Democrats are losing what little impeachment momentum they had left.

We’ve seen this before.

This is a desperate attempt to resusciate their dying political dreams."
"26683","what other singer do I sound similar to I’m curious"
"48467","don’t ever feel like you gotta deal with me .. just cut me off lol"
"48528","Y’all bitches weird asf 🥴 being cool w y’all babyfather babymother shid I WOULD NEVER ! 🗣 idgaf fuck the kids bond watever the situation I’m just not with it 💯"
"50979","He's  returned from yet another battle, exhausted. He's going to wander up behind @unalterablyours  and hug her from behind.

""Hello, my darling.""

He greets her with a slightly sleepy tone."
"49627","Trapped gas be the worst"
"11226","Bloomberg is almost a foot shorter than Trump, and maybe half a foot shorter than Biden.

His voice and facial expressions make him sound and look harsh and unlikeable.

Optics like that matter in a national race. They matter a lot."
"51333","Seeing y’all be in blasphemy and heartbroken over celebrity deaths kills me everytime"
"20788","Let us speak no more of the Raiders being good. They've beaten bums. These are the facts."
"38889","IS ANYONE GONNA TELL THAT VEGAN PRICK TO STFU AND LET THE OTHER POOR WOMAN SPEAK. #ThisMorning DONT BE FUCKING RUDE, NOT EVERYONE HAS TO BE VEGAN"
"66578","Smoking in bars was good. First of all it made people like me happy. Secondly it kept other people (joyless nerds) out of bars and they could stay home and play settlers of catan or whatever, thereby extending their lives.

*bangs gavel*"
"43458","Wow! Crazy Bernie Sanders is surging in the polls, looking very good against his opponents in the Do Nothing Party. So what does this all mean? Stay tuned!"
"933","The Ukraine investigation is just as Corrupt and Fake as all of the other garbage that went on before it. Even Shifty Schiff got caught cheating when he made up what I said on the call!"
"31529",".@marcthiessen  “Voters say the Democrats are trying to take away their votes. Pelosi was right the first time. Impeachment has backfired thoroughly on the Democrats. How can you Impeach the President for going to the courts?”"
"34697","Men still going to women’s fathers for permission to marry is beyond infuriating. Women are not fucking cattle to be traded, we can make our own decisions and our fathers don’t get a say in that as if we’re property to be traded from one man to another.

Says a lot about a man."
"12551","#Unathi this backlash is deserved. She must learn. She did the same @METROFMSA . I hope @IdolsSA, takes serious steps against her. Our kids watch that show. Are they now supposed to feel inferior  because they not Xhosa?"
"45787","I’m partial to singing “Boris Johnson is a cunt” to the tune of “I’ve Been Driving In My Car” by Madness. #bbcqt"
"39340","First of all, if you just smoke ""weed"" then we aren't even on the same level. I won't purchase or smoke weed unless I know the strain and have verified the quality. I don't match with people. I smoke tiny amounts out of a bowl throughout the day."
"28009","All those Guys who plait their hairs and put on earring, May God add menstruation for you."
"9032","The Whistleblower gave false information & dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!"
"60874","I hate arrogant people
Rude people
Angry people"
"35906","Thanks for letting us know. See you real soon... RT @Rob60290157: @Working94316509 Got some Cali weed, so yes probably the same."
"42926","If we want to help the Iranian people we should start by lifting the travel ban."
"26474","Read the Transcripts! Also, see where I say “us” (our Country) as opposed to “me” (meaning me) and where I then say that the Attorney General (of the United States) will call you. People still remember Schiff’s made up and fraudulent version of my conversation. Witch Hunt!"
"57224","Little girls are so cute putting their mcms as their headers and posting them on their stories 😂when you get older luv he’ll dash that phone out your hand if you try snap him he can’t get caught cheating 💀"
"34498","Does no-one nick phones anymore? I could have done with mine being nicked last night. Christ. the. night."
"48516","Good News Pierre Delecto joined fellow Republicans in voting to shoot down Dem amendments  👍👍"
"13433","Every American Jew knows a Bernie Sanders in his/her personal life: Someone nominally born Jewish but is a hardline atheist, secularist, and socialist who forsakes God, country, and tradition alike.

These self-haters do not speak for proud American Jews and American Zionists."
"13425","Can’t no man make a woman cum from eating her pussy. 😂 Don’t @ me."
"11487","Republicans only have til Saturday to request witnesses for ALL open hearings.

-@RepAdamSchiff decides WHICH witnesses testify, if any
-Schiff decides WHEN witnesses testify, if at all
-President’s counsel still excluded

Does this sound like due process?"
"1050","It makes no sense how people get home around 5am from groove😨. By the time it was 9, I was hella grumpy. 😂"
"37490","Bernie Sanders will make an excellent president of Twitter, a stupid and puerile place filled with bumper sticker ideas presented in aggressively idiotic fashion, without regard for real-world consequences"
"56330","The next person who tells me I look tired will get told to fuck right off. Getting sick of it now #Iknowwwwww #noneed"
"21157","After Mueller it should have been OVER.

The whole Ukraine issue, particularly the way the House of Representatives is doing it, is a joke.

We’re less than a year away from the 2020 election.

If you don’t like Trump -- vote against him.

Let the American people decide!"
"19041","I am 35.
I am fat.
I have grey hair.
I am wrinkled.
I have battled and survived.

I am grown and I can speak my fucking mind whenever, wherever and however I like.
You will never stop me 🖕🏼❤️🖕🏼"
"4968","Get the fucking TRAITOR out of our god damned White House!!!  @realDonaldTrump"
"19970","Vindictive Vindman is the “whistleblower’s” handler."
"32820","#IStandWithMaya

Actually no I don't, and if you do the best thing you can do for society is die"
"63362","wasn't y'all just calling popsmoke ugly lmfao"
"50449","Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their leader, dumb as a rock AOC, & the entire Radical Left, Do Nothing Democrat Party, starts today at 10:00 A.M. on @FoxNews, @OANN or Fake News @CNN or Fake News MSDNC!"
"53256","Nigga got hurt ONE time and now everybody gotta pay. Women get hurt so much and still are able to give. Let’s talk about it."
"40107","what do you guys think of the #chillsvideo ?!!"
"14784","I need to see the new Rick and Morty episodes but really want to wait to binge watch the whole season 😂"
"3592","Nervous Nancy Pelosi is doing everything possible to destroy the Republican Party. Our Polls show that it is going to be just the opposite. The Do Nothing Dems will lose many seats in 2020. They have a Death Wish, led by a corrupt politician, Adam Schiff!"
"10712","The Amazon Washington Post and three lowlife reporters, Matt Zapotosky, Josh Dawsey, and Carol Leonnig, wrote another Fake News story, without any sources (pure fiction), about Bill Barr & myself. We both deny this story, which they knew before they wrote it. A garbage newspaper!"
"12958","Schiff and the Dems have created this whole thing, they reverse engineer it. They’ve been vowing to impeach for three years. Why should we listen to them? Why should we want to?”  @greggutfeld @FoxNews"
"2743","Who do the 49ers play next week? Clovis west?"
"47850","What these Boomer MAGA Q Tards fail to realize is that the 2nd Amendment doesn’t mean shit when they import brown hoards to vote away our rights. Silly rallies don’t fix anything, we’re still outnumbered, and the margin is growing every year."
"55032","Fuck dnc  & Bloomberg -
Who want ONE thing-
to stop sanders -
ok you wanna make this like 68 ?  U want to lie - try to buy it
& Just shove it down our throats ?
F U C K you
We are coming for you too -  believe it -"
"7136","The Greatest Witch Hunt In American History!"
"9243","Mark Levin, a great lawyer and scholar, said last night on his @marklevinshow, that all you have to do is read the transcript of the call, you do not need Never Trumpers or other witnesses to say what it means or says. It is plainly and very well stated for all to see. Witch Hunt"
"8572","The Democrats are Fixers, and they are working overtime to FIX the Impeachment “Process” in order to hurt the Republican Party and me. Nancy Pelosi should instead Fix her broken District and Corrupt Adam should clean up & manage the California forests which are always burning!"
"50519","Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their leader, dumb as a rock AOC, & the entire Radical Left, Do Nothing Democrat Party, starts today at 10:00 A.M. on @FoxNews, @OANN or Fake News @CNN or Fake News MSDNC!"
"48753","ADVANTAGES OF DATING A YOUNGER WOMAN

1st n foremost, let me make it clear, by young, I'm referring to 18 yrs +, before the feminists accuse me of child abuse. Now that's cleared up, I'm going to list the advantages of dating a younger woman (25 & below) over the older ones⬇️⬇️⬇️"
"50957","I personally feel like Congratulations and Congrats don't carry the same weight...Congrats comes with an attachment of jealous 🙄"
"20220","If Shifty says it’s just a coincidence that he is invested in same companies that got $7b in laundered Ukrainian money will you believe him? Well maybe if he stepped down until he was investigated. If I was Independent Council I would be quick and fairer than Mueller."
"64255","Wow, back to  #RussianCollusion , due to a NY Times speculation piece.  Liberals will run with anything, this unhinged behavior just keeps feeding the Trump base, growing and growing Dems!!! Keep it up!!! Even Obama is ashamed of you"
